962,org.jfree.chart.util.ParamChecks,nullNotPermitted
4910203,org.jfree.chart.block.AbstractBlock,setBounds
10085015,org.jfree.chart.block.CenterArrangement,arrangeNN
14979502,org.jfree.chart.block.CenterArrangement,arrange
20046225,org.jfree.chart.block.BlockContainer,arrange
2245,org.jfree.chart.ui.Size2D,getWidth
642,org.jfree.chart.util.ParamChecks,nullNotPermitted
4753040,org.jfree.chart.block.AbstractBlock,setBounds
9577926,org.jfree.chart.block.FlowArrangement,arrangeNN
1604,org.jfree.chart.block.RectangleConstraint,getWidthRange
3528,org.jfree.data.Range,contains
4004434,org.jfree.chart.block.FlowArrangement,arrangeRR
8682742,org.jfree.chart.block.FlowArrangement,arrange
13319032,org.jfree.chart.block.BlockContainer,arrange
962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4786077,org.jfree.chart.ui.RectangleInsets,extendHeight
2245,org.jfree.chart.block.BlockBorder,getInsets
641,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1924,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
14062187,org.jfree.chart.ui.RectangleInsets,extendHeight
962,org.jfree.chart.ui.RectangleInsets,calculateTopOutset
1924,org.jfree.chart.ui.RectangleInsets,calculateBottomOutset
4853111,org.jfree.chart.ui.RectangleInsets,extendHeight
9445460,org.jfree.chart.block.AbstractBlock,calculateTotalHeight
642,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4780623,org.jfree.chart.ui.RectangleInsets,extendWidth
2244,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1282,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
4732512,org.jfree.chart.ui.RectangleInsets,extendWidth
1282,org.jfree.chart.ui.RectangleInsets,calculateLeftOutset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightOutset
5042668,org.jfree.chart.ui.RectangleInsets,extendWidth
9654261,org.jfree.chart.block.AbstractBlock,calculateTotalWidth
14972124,org.jfree.chart.title.LegendTitle,arrange
3849,org.jfree.chart.title.Title,getHorizontalAlignment
19565,org.jfree.chart.JFreeChart,createAlignedRectangle2D
2887,org.jfree.chart.block.BlockParams,getGenerateEntities
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1284,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5557134,org.jfree.chart.ui.RectangleInsets,trim
9961531,org.jfree.chart.block.AbstractBlock,trimMargin
5132,org.jfree.chart.block.AbstractBlock,getFrame
963,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
2245,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4773246,org.jfree.chart.block.BlockBorder,draw
1284,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1924,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5231263,org.jfree.chart.ui.RectangleInsets,trim
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1925,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1282,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4766191,org.jfree.chart.ui.RectangleInsets,trim
9972115,org.jfree.chart.block.AbstractBlock,trimPadding
963,org.jfree.chart.block.BlockParams,getGenerateEntities
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1604,org.jfree.chart.ui.RectangleInsets,calculateTopInset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5287392,org.jfree.chart.ui.RectangleInsets,trim
9796029,org.jfree.chart.block.AbstractBlock,trimMargin
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1603,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
1603,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1282,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4737965,org.jfree.chart.block.BlockBorder,draw
9790255,org.jfree.chart.block.AbstractBlock,drawBorder
642,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1603,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1604,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4889675,org.jfree.chart.ui.RectangleInsets,trim
10577992,org.jfree.chart.block.AbstractBlock,trimBorder
1283,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1284,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1924,org.jfree.chart.ui.RectangleInsets,calculateTopInset
962,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5169360,org.jfree.chart.ui.RectangleInsets,trim
9621546,org.jfree.chart.block.AbstractBlock,trimPadding
4811,org.jfree.chart.block.AbstractBlock,getBounds
962,org.jfree.chart.block.BlockParams,getGenerateEntities
963,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
2566,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1284,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5048762,org.jfree.chart.ui.RectangleInsets,trim
9936512,org.jfree.chart.block.AbstractBlock,trimMargin
1603,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1925,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
2566,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1603,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4964728,org.jfree.chart.block.BlockBorder,draw
10474713,org.jfree.chart.block.AbstractBlock,drawBorder
962,org.jfree.chart.block.BlockBorder,getInsets
1282,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1925,org.jfree.chart.ui.RectangleInsets,calculateRightInset
2565,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
6134465,org.jfree.chart.ui.RectangleInsets,trim
11383690,org.jfree.chart.block.AbstractBlock,trimBorder
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
2245,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5304712,org.jfree.chart.ui.RectangleInsets,trim
9806613,org.jfree.chart.block.AbstractBlock,trimPadding
2565,org.jfree.chart.block.AbstractBlock,getBounds
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1925,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1604,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5207529,org.jfree.chart.ui.RectangleInsets,trim
9788652,org.jfree.chart.block.AbstractBlock,trimMargin
962,org.jfree.chart.ui.RectangleInsets,calculateTopInset
2566,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
2245,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightInset
5552644,org.jfree.chart.block.BlockBorder,draw
10066091,org.jfree.chart.block.AbstractBlock,drawBorder
641,org.jfree.chart.block.BlockBorder,getInsets
963,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
2245,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1604,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4945163,org.jfree.chart.ui.RectangleInsets,trim
9883591,org.jfree.chart.block.AbstractBlock,trimBorder
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
5452,org.jfree.chart.ui.RectangleInsets,calculateRightInset
2246,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5100722,org.jfree.chart.ui.RectangleInsets,trim
9553870,org.jfree.chart.block.AbstractBlock,trimPadding
1925,org.jfree.chart.block.AbstractBlock,getBounds
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1604,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1603,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1925,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
5047800,org.jfree.chart.ui.RectangleInsets,trim
9742787,org.jfree.chart.block.AbstractBlock,trimMargin
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1282,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
1924,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
2244,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4965369,org.jfree.chart.block.BlockBorder,draw
9392218,org.jfree.chart.block.AbstractBlock,drawBorder
641,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
962,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1282,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1282,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
