962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1924,org.jfree.chart.ui.RectangleInsets,calculateTopInset
4170,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4665478,org.jfree.chart.ui.RectangleInsets,trim
8771266,org.jfree.chart.block.AbstractBlock,trimPadding
1282,org.jfree.chart.block.AbstractBlock,getBounds
642,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
1283,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1282,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
4352115,org.jfree.chart.ui.RectangleInsets,trim
8294646,org.jfree.chart.block.AbstractBlock,trimMargin
963,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
1604,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
4537183,org.jfree.chart.block.BlockBorder,draw
8493506,org.jfree.chart.block.AbstractBlock,drawBorder
962,org.jfree.chart.block.BlockBorder,getInsets
962,org.jfree.chart.ui.RectangleInsets,calculateLeftInset
1283,org.jfree.chart.ui.RectangleInsets,calculateRightInset
963,org.jfree.chart.ui.RectangleInsets,calculateTopInset
1283,org.jfree.chart.ui.RectangleInsets,calculateBottomInset
